Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
0.01	0.025	LB	1     	0.07437114834992582
0.01	0.025	LB	2     	0.006659632128662294
0.01	0.025	LB	3     	0.001692182379911661
0.01	0.025	LB	4     	0.0002688179267338871
0.01	0.025	LB	5     	3.579533970209996e-05
0.01	0.025	LB	6     	6.767117400517208e-06
0.01	0.025	LB	7     	1.239073847794218e-06
0.01	0.025	LB	8     	1.988356988850987e-07
0.01	0.025	LB	9     	3.403582039323406e-08
0.01	0.025	LB	10    	6.057319462652638e-09
0.01	0.025	LB	11    	1.034282747372453e-09
0.01	0.025	LB	12    	1.764649299620067e-10
0.01	0.025	LB	13    	3.069779384777958e-11
0.01	0.025	LB	14    	5.307017036803733e-12
0.01	0.025	LB	15    	9.120574501590818e-13
0.01	0.025	LB	16    	1.575454993786784e-13
0.01	0.025	LB	17    	2.723794995425811e-14
0.01	0.025	LB	18    	4.697491828205103e-15
0.01	0.025	LB	19    	8.105938215782402e-16
0.01	0.025	LB	20    	1.400040245826273e-16
0.01	0.025	LB	21    	2.41676595216863e-17
0.01	0.025	LB	22    	4.171075754546227e-18
0.01	0.025	LB	23    	7.201158589475873e-19
0.01	0.025	LB	24    	1.243208524823052e-19
0.01	0.025	LB	25    	2.146002886954464e-20
0.01	0.025	LB	26    	3.704619828602664e-21
0.01	0.025	LB	27    	6.395468682931743e-22
0.01	0.025	LB	28    	1.104038523533159e-22
0.01	0.025	LB	29    	1.905881286881561e-23
0.01	0.025	LB	30    	3.29014647646253e-24
0.01	0.025	LB	31    	5.679787163229025e-25
0.01	0.025	LB	32    	9.804974879692711e-26
0.01	0.025	LB	33    	1.692633405933777e-26
0.01	0.025	LB	34    	2.921995689610769e-27
0.01	0.025	LB	35    	5.044232269145304e-28
0.01	0.025	LB	36    	8.707843179748585e-29
0.01	0.025	LB	37    	1.503232744926037e-29
0.01	0.025	LB	38    	2.595023700820395e-30
0.01	0.025	LB	39    	4.479773306055627e-31
0.01	0.025	LB	40    	7.733401492070513e-32
0.01	0.025	UB	1     	0.07484542280031523
0.01	0.025	UB	2     	0.006728442644571833
0.01	0.025	UB	3     	0.001701077358763277
0.01	0.025	UB	4     	0.0002710631310887542
0.01	0.025	UB	5     	3.628609305800803e-05
0.01	0.025	UB	6     	6.850080482291301e-06
0.01	0.025	UB	7     	1.254665851566015e-06
0.01	0.025	UB	8     	2.019981566456734e-07
0.01	0.025	UB	9     	3.462350844582047e-08
0.01	0.025	UB	10    	6.164620002466491e-09
0.01	0.025	UB	11    	1.054552684423303e-09
0.01	0.025	UB	12    	1.80243025693212e-10
0.01	0.025	UB	13    	3.138865823897888e-11
0.01	0.025	UB	14    	5.433956634639002e-12
0.01	0.025	UB	15    	9.353815692739386e-13
0.01	0.025	UB	16    	1.61796063099569e-13
0.01	0.025	UB	17    	2.801056254987561e-14
0.01	0.025	UB	18    	4.837873072919483e-15
0.01	0.025	UB	19    	8.360196318667964e-16
0.01	0.025	UB	20    	1.445964354749908e-16
0.01	0.025	UB	21    	2.4996043481832e-17
0.01	0.025	UB	22    	4.320245627463756e-18
0.01	0.025	UB	23    	7.469255757537038e-19
0.01	0.025	UB	24    	1.291323310935531e-19
0.01	0.025	UB	25    	2.232241270692695e-20
0.01	0.025	UB	26    	3.858976952089665e-21
0.01	0.025	UB	27    	6.6714099681784e-22
0.01	0.025	UB	28    	1.153313990156484e-22
0.01	0.025	UB	29    	1.993779891021118e-23
0.01	0.025	UB	30    	3.446783517092545e-24
0.01	0.025	UB	31    	5.958658549697478e-25
0.01	0.025	UB	32    	1.030103312845983e-25
0.01	0.025	UB	33    	1.780798894555455e-26
0.01	0.025	UB	34    	3.078571151202911e-27
0.01	0.025	UB	35    	5.322092976769969e-28
0.01	0.025	UB	36    	9.200590839263149e-29
0.01	0.025	UB	37    	1.590556336164292e-29
0.01	0.025	UB	38    	2.749678394762861e-30
0.01	0.025	UB	39    	4.753509530356824e-31
0.01	0.025	UB	40    	8.217631103276633e-32
0.01	0.050	LB	1     	0.1473920956591821
0.01	0.050	LB	2     	0.025771590070744
0.01	0.050	LB	3     	0.008328793013098367
0.01	0.050	LB	4     	0.002263973441290816
0.01	0.050	LB	5     	0.0005540752750864086
0.01	0.050	LB	6     	0.0001567093607360193
0.01	0.050	LB	7     	4.562242379484548e-05
0.01	0.050	LB	8     	1.266349487285598e-05
0.01	0.050	LB	9     	3.547119965028538e-06
0.01	0.050	LB	10    	1.013262612454459e-06
0.01	0.050	LB	11    	2.879428474924975e-07
0.01	0.050	LB	12    	8.153304851655242e-08
0.01	0.050	LB	13    	2.318447955091368e-08
0.01	0.050	LB	14    	6.601094792759062e-09
0.01	0.050	LB	15    	1.877436166934868e-09
0.01	0.050	LB	16    	5.341426318613519e-10
0.01	0.050	LB	17    	1.520674318571026e-10
0.01	0.050	LB	18    	4.329154981779701e-11
0.01	0.050	LB	19    	1.232393065129877e-11
0.01	0.050	LB	20    	3.508815987944803e-12
0.01	0.050	LB	21    	9.990877230916364e-13
0.01	0.050	LB	22    	2.844757468447411e-13
0.01	0.050	LB	23    	8.100235394141893e-14
0.01	0.050	LB	24    	2.306554743097723e-14
0.01	0.050	LB	25    	6.568018877269375e-15
0.01	0.050	LB	26    	1.870284499415464e-15
0.01	0.050	LB	27    	5.325802713023908e-16
0.01	0.050	LB	28    	1.516579637000583e-16
0.01	0.050	LB	29    	4.318637088057108e-17
0.01	0.050	LB	30    	1.229785794186058e-17
0.01	0.050	LB	31    	3.501977487190096e-18
0.01	0.050	LB	32    	9.972359037252996e-19
0.01	0.050	LB	33    	2.839768398524007e-19
0.01	0.050	LB	34    	8.086643652060627e-20
0.01	0.050	LB	35    	2.302787753888395e-20
0.01	0.050	LB	36    	6.557519559955563e-21
0.01	0.050	LB	37    	1.867347967550189e-21
0.01	0.050	LB	38    	5.31754028870725e-22
0.01	0.050	LB	39    	1.514244842627993e-22
0.01	0.050	LB	40    	4.312023435374034e-23
0.01	0.050	UB	1     	0.1478396173144348
0.01	0.050	UB	2     	0.02589661819238182
0.01	0.050	UB	3     	0.008359959822328181
0.01	0.050	UB	4     	0.002274701871988664
0.01	0.050	UB	5     	0.0005578482129172142
0.01	0.050	UB	6     	0.0001578566018862461
0.01	0.050	UB	7     	4.596992910970072e-05
0.01	0.050	UB	8     	1.277377172948725e-05
0.01	0.050	UB	9     	3.581477441627709e-06
0.01	0.050	UB	10    	1.023729268547761e-06
